ticker,event_date,prob_yes,direction,stock_return,adj_return,trade_return
MESO,2020-08-13,0.963,long,0.5781,0.5706,0.5706
INCY,2021-06-24,0.892,long,0.0204,-0.017,-0.017
ONCO,2022-09-22,0.071,short,-0.1835,-0.1184,0.1184
GSK,2023-02-09,0.847,long,-0.0091,0.0429,0.0429
AZN,2023-04-28,0.726,long,-0.002,-0.0363,-0.0363
GERN,2024-03-14,0.779,long,0.7872,0.8027,0.8027
LEGN,2024-03-15,0.823,long,-0.0493,-0.0065,-0.0065
BMY,2024-03-15,0.823,long,-0.0201,0.0226,0.0226
BMY,2024-09-26,0.323,short,-0.0006,0.0022,-0.0022
JNJ,2025-05-20,0.249,short,0.0122,0.0083,-0.0083
PFE,2025-05-20,0.249,short,0.0092,0.0053,-0.0053
RHHBY,2025-05-20,0.249,short,0.0092,0.0053,-0.0053
URGN,2025-05-20,0.249,short,-0.4295,-0.4335,0.4335
