y_true,y_pred,prob_yes,meeting_date
yes,yes,0.9583333333333331,2024-04-12
yes,yes,0.7258333333333334,2023-04-28
no,yes,0.8518333333333333,2026-04-30
yes,no,0.2018333333333333,2026-04-30
yes,yes,0.9633333333333332,2020-08-13
no,yes,0.8473333333333334,2020-02-26
yes,no,0.1573333333333333,2020-02-26
yes,yes,0.892,2021-06-24
yes,yes,0.7792142857142856,2024-03-14
yes,yes,0.8233333333333333,2024-03-15
yes,yes,0.8233333333333333,2024-03-15
yes,yes,0.567,2023-03-09
no,no,0.3212142857142857,2025-05-20
yes,no,0.0,2025-05-20
no,no,0.3376904761904762,2025-05-20
no,no,0.3376904761904762,2025-05-20
yes,yes,0.7723809523809524,2023-10-04
no,yes,0.5183809523809524,2023-10-05
no,no,0.071,2022-09-22
no,no,0.071,2022-09-22
no,no,0.071,2022-09-22
no,no,0.3234761904761905,2024-09-26
no,no,0.3234761904761905,2024-09-26
yes,yes,0.8466666666666667,2023-02-09
yes,yes,0.64,2020-07-14
